Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
3/1/20,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116736,1998,3/1/20
2/1/20,Emera Maine,Bangor Hydro District,Large,CEP customers,32,485.9235748,2/1/20
2/1/20,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,231.5822394,2/1/20
2/1/20,Central Maine Power,N/A,Small,CEP customers,74234,1760.173,2/1/20
2/1/20,Central Maine Power,N/A,Small,Standard offer customers,493938,10891.99521,2/1/20
2/1/20,Emera Maine,Maine Public District,Medium,CEP customers,80,132.0491379,2/1/20
2/1/20,Emera Maine,Maine Public District,Medium,Standard offer customers,122,113.5133103,2/1/20
2/1/20,Central Maine Power,N/A,Large,CEP customers,310,4333.631586,2/1/20
2/1/20,Central Maine Power,N/A,Large,Standard offer customers,43,138.4663448,2/1/20
2/1/20,Emera Maine,Maine Public District,Large,CEP customers,13,355.2645172,2/1/20
2/1/20,Emera Maine,Maine Public District,Large,Standard offer customers,2,3.813517241,2/1/20
2/1/20,Central Maine Power,N/A,Medium,CEP customers,4763,3243.765724,2/1/20
2/1/20,Central Maine Power,N/A,Medium,Standard offer customers,5476,1807.545931,2/1/20
2/1/20,Emera Maine,Maine Public District,Small,CEP customers,393,28.29817241,2/1/20
2/1/20,Emera Maine,Maine Public District,Small,Standard offer customers,35236,924.9030345,2/1/20
2/1/20,Emera Maine,Bangor Hydro District,Small,CEP customers,10809,235.6379793,2/1/20
2/1/20,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116573,2158.824879,2/1/20
2/1/20,Emera Maine,Bangor Hydro District,Medium,CEP customers,851,795.9797007,2/1/20
2/1/20,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,964,404.6149143,2/1/20
1/1/20,Emera Maine,Bangor Hydro District,Medium,CEP customers,854,825.3204661,1/1/20
1/1/20,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,969,427.3835161,1/1/20
1/1/20,Central Maine Power,N/A,Medium,CEP customers,5202,3709.875355,1/1/20
1/1/20,Central Maine Power,N/A,Medium,Standard offer customers,6229,2167.651129,1/1/20
1/1/20,Emera Maine,Maine Public District,Small,CEP customers,397,32.32435484,1/1/20
1/1/20,Emera Maine,Maine Public District,Small,Standard offer customers,35238,917.546,1/1/20
1/1/20,Central Maine Power,N/A,Large,CEP customers,355,8703.363194,1/1/20
1/1/20,Central Maine Power,N/A,Large,Standard offer customers,54,220.5109032,1/1/20
1/1/20,Emera Maine,Bangor Hydro District,Small,CEP customers,10898,252.1978502,1/1/20
1/1/20,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116402,2262.229567,1/1/20
1/1/20,Central Maine Power,N/A,Small,CEP customers,82958,2104.185774,1/1/20
1/1/20,Central Maine Power,N/A,Small,Standard offer customers,546493,12926.32942,1/1/20
1/1/20,Emera Maine,Maine Public District,Large,CEP customers,13,446.2314839,1/1/20
1/1/20,Emera Maine,Maine Public District,Large,Standard offer customers,3,2.849032258,1/1/20
1/1/20,Emera Maine,Maine Public District,Medium,CEP customers,77,124.7896774,1/1/20
1/1/20,Emera Maine,Maine Public District,Medium,Standard offer customers,110,99.92751613,1/1/20
1/1/20,Emera Maine,Bangor Hydro District,Large,CEP customers,32,459.2547218,1/1/20
1/1/20,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,188.2745775,1/1/20
12/1/19,Central Maine Power,N/A,Medium,CEP customers,5156,3559.132161,12/1/19
12/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6244,2177.388129,12/1/19
12/1/19,Emera Maine,Maine Public District,Medium,CEP customers,76,118.1377742,12/1/19
12/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,108,99.98916129,12/1/19
12/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,412.1384574,12/1/19
12/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,272.2978682,12/1/19
12/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11076,260.3781801,12/1/19
12/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116175,2333.650355,12/1/19
12/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,841,784.9754424,12/1/19
12/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,990,410.5957165,12/1/19
12/1/19,Emera Maine,Maine Public District,Small,CEP customers,397,30.65509677,12/1/19
12/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,35276,868.6517097,12/1/19
12/1/19,Central Maine Power,N/A,Large,CEP customers,351,7365.872032,12/1/19
12/1/19,Central Maine Power,N/A,Large,Standard offer customers,52,158.2109677,12/1/19
12/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,416.8569355,12/1/19
12/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,4.001032258,12/1/19
12/1/19,Central Maine Power,N/A,Small,CEP customers,84664,2047.663903,12/1/19
12/1/19,Central Maine Power,N/A,Small,Standard offer customers,544452,12071.33561,12/1/19
11/1/19,Emera Maine,Maine Public District,Medium,CEP customers,75,107,11/1/19
11/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,109,94,11/1/19
11/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,435,11/1/19
11/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,225,11/1/19
11/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11282,239,11/1/19
11/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116040,2133,11/1/19
11/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,377,11/1/19
11/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,2,2,11/1/19
11/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,838,794,11/1/19
11/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1003,457,11/1/19
11/1/19,Central Maine Power,N/A,Large,CEP customers,298,4328.747133,11/1/19
11/1/19,Central Maine Power,N/A,Large,Standard offer customers,41,124.6864,11/1/19
11/1/19,Emera Maine,Maine Public District,Small,CEP customers,398,23,11/1/19
11/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,36524,768,11/1/19
11/1/19,Central Maine Power,N/A,Medium,CEP customers,4609,2843.247667,11/1/19
11/1/19,Central Maine Power,N/A,Medium,Standard offer customers,5579,1664.503467,11/1/19
11/1/19,Central Maine Power,N/A,Small,CEP customers,77025,1507.4559,11/1/19
11/1/19,Central Maine Power,N/A,Small,Standard offer customers,491920,8430.4277,11/1/19
10/1/19,Emera Maine,Maine Public District,Medium,CEP customers,75,109,10/1/19
10/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,109,89,10/1/19
10/1/19,Central Maine Power,N/A,Medium,CEP customers,5153,3382.522387,10/1/19
10/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6302,2156.210871,10/1/19
10/1/19,Central Maine Power,N/A,Large,CEP customers,358,9370.850677,10/1/19
10/1/19,Central Maine Power,N/A,Large,Standard offer customers,54,174.0451935,10/1/19
10/1/19,Central Maine Power,N/A,Small,CEP customers,85929,1695.233613,10/1/19
10/1/19,Central Maine Power,N/A,Small,Standard offer customers,543508,8966.801516,10/1/19
10/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,516,10/1/19
10/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,240,10/1/19
10/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,831,710,10/1/19
