,Index,Name,Type,Link,Full URL,real_urls
221,21,"MAINELY GRASS OF SOUTHEASTERN MA, INC.",FORMER,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20130466%2BD&sa=D&ust=1569253417190000&usg=AFQjCNFPVR-Rqh98Ss39S-kGZVC6HqtlMw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20130466+D
222,22,"MAINELY GRASS, INC.",FORMER,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19982352%2BD&sa=D&ust=1569253417190000&usg=AFQjCNEF3SlZ1tCDaGeH-_6H6cKLGUO0yg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19982352+D
223,23,"MAINELY GREEN CLEANING SERVICES, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20153271DC&sa=D&ust=1569253417191000&usg=AFQjCNHbu61xYiDkVprQ0TfvkTdOSXPb1A,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153271DC
224,24,MAINELY GREEN CLEANING,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D20080073%2BM&sa=D&ust=1569253417191000&usg=AFQjCNEeRyp8lcu5iplad7FhymMnsgwTLQ,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080073+M
225,25,"MAINELY GREEN, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20172145DC&sa=D&ust=1569253417191000&usg=AFQjCNFfcvSVTz2Jv1ziOpzQjuS9pYzCmw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20172145DC
226,26,MAINELY GREENERY LLP,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20200001DP&sa=D&ust=1569253417192000&usg=AFQjCNFn_sb30NRlloSWGpVHnvtpZ7ZbOQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20200001DP
227,27,MAINELY GREENS,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20120503ND&sa=D&ust=1569253417192000&usg=AFQjCNE0MBtW7ybq0BPSVQVD5wrYYCnmEA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120503ND
228,28,MAINELY GREYHOUNDS,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19940049ND&sa=D&ust=1569253417193000&usg=AFQjCNGaHPPYFns4fiTJX9efjijM43ZXaQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19940049ND
229,29,MAINELY GROCERY STORE,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20141162%2BD&sa=D&ust=1569253417193000&usg=AFQjCNGKJwjebF_LY-6uwh7YOlJ-qSIjIg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141162+D
230,1,MAINE-LY HARMONY,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19860247ND&sa=D&ust=1569253417194000&usg=AFQjCNHhrCCGaMk_t9yJaIIJ6zknReXfVg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19860247ND
231,2,"MAINE-LY HAY, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20141773DC&sa=D&ust=1569253417194000&usg=AFQjCNGT4kl74dfS-gsT4kA9oSykzbUgpA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141773DC
232,3,MAINE-LY HEALTHY VENDING LLC,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20121127DC&sa=D&ust=1569253417195000&usg=AFQjCNHT-f7JWIJjUuLU8aLjsJ5NItKO3w,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121127DC
233,4,MAINE-LY HEARING,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D20100056%2BM&sa=D&ust=1569253417195000&usg=AFQjCNEpGTg3w5BUlWL9kl3_-Zm4GUELjg,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20100056+M
234,5,"MAINE-LY HEATING OIL, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20111132DC&sa=D&ust=1569253417195000&usg=AFQjCNERZtsrNmy57mRf_tvnUPzUv9HbYw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20111132DC
235,6,"MAINE-LY HISTORIC HOMES & GARDENS, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20161264DC&sa=D&ust=1569253417196000&usg=AFQjCNGsec5xNcbAx0NvEQOsCsxl0LbpJw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161264DC
236,7,"MAINE-LY HOME ACQUISITIONS, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20160027FC&sa=D&ust=1569253417196000&usg=AFQjCNFrXnI9mNAStWxN_d6az2AlO5Nu5A,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160027FC
237,8,MAINE-LY HOME IMPROVEMENTS CORP.,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19870530%2BD&sa=D&ust=1569253417197000&usg=AFQjCNGamgf-7MhIG4mFwZyxAH-OhoQO-A,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19870530+D
238,9,MAINE-LY HYDROPONICS,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19980802%2BD&sa=D&ust=1569253417197000&usg=AFQjCNHTbCGshfPLKChkATUoETgtL7BgTA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19980802+D
239,10,"MAINELY HAIR, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19951299%2BD&sa=D&ust=1569253417198000&usg=AFQjCNFIGjzLL898uKzkHo5AbK8IrFWRqQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19951299+D
240,11,"MAINELY HANDRAILS, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20184778DC&sa=D&ust=1569253417198000&usg=AFQjCNHsqu6frimOZXKDgGD2s6MqMvSIaQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20184778DC
241,12,"MAINELY HARDSCAPES, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20161091DC&sa=D&ust=1569253417199000&usg=AFQjCNHFDjvXSaK9_-zB89fj5WzOVVNhVQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161091DC
242,13,MAINELY HARDSCAPES,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20120742%2BD&sa=D&ust=1569253417199000&usg=AFQjCNE4VtqWKsCaujrG4JBsEvKgk4sjvQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120742+D
243,14,"MAINELY HEALTH AND NUTRITION, L.L.C.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20134106DC&sa=D&ust=1569253417200000&usg=AFQjCNEH94uXby_JYDQqZqLkMh4uQPyBjQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20134106DC
244,15,MAINELY HEALTH AND SAFETY LLC,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20187046DC&sa=D&ust=1569253417200000&usg=AFQjCNF0xfwJo4wSZgO3PZwb8jznMaywMw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20187046DC
245,16,MAINELY HEALTHCARE RECEIVABLES,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20081597%2BD&sa=D&ust=1569253417201000&usg=AFQjCNG2yKu9nQ29jaOKDeOZAv9OT1tpDQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081597+D
246,17,"MAINELY HEALTHY MOUTHS, INC.",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20100325ND&sa=D&ust=1569253417201000&usg=AFQjCNHPbVJc_hfCa_uL-bfzq1-eyxgPrA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100325ND
247,18,"MAINELY HEAT PUMPS, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20152345DC&sa=D&ust=1569253417202000&usg=AFQjCNFVG5SpKRMh7L89d_EMG36lDqAGeA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20152345DC
248,19,"MAINELY HEATING, LLC",FORMER,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20111132DC&sa=D&ust=1569253417202000&usg=AFQjCNF2tHLYeDFMb1dHXKMA-m-KFfr3kg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20111132DC
249,20,MAINELY HELPERS INC.,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20111057%2BD&sa=D&ust=1569253417202000&usg=AFQjCNGSLgjwK6lZA3Kvo7X8xf0nlLv7Hw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20111057+D
250,21,MAINELY HELPING HANDS,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D19930037%2BM&sa=D&ust=1569253417203000&usg=AFQjCNGkQTPCmpKATuNSZwkXQERYwbfWPw,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19930037+M
251,22,"MAINELY HEMP, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20196672DC&sa=D&ust=1569253417203000&usg=AFQjCNHso-u_HNp-xotMEMGbRdSnioS4rA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20196672DC
