city,make,model,vehicle_count,all_vehicles,vehicle_share,cty,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
Dennistown Plt,Chev,Silverado,8,33,0.242424242424242424242424,SOM,0,4,13,0,2,19,Dennistown Plt,Shawn Moody,68.42105263157894736842100
Milford,Chev,Silverado,128,2608,0.04907975460122699386503,PEN,84,687,628,0,33,1432,Milford,Janet Mills,47.974860335195530726256900
Deer Isle,Chev,Silverado,121,1934,0.062564632885211995863495,HAN,45,648,357,0,15,1065,Deer Isle,Janet Mills,60.845070422535211267605600
Bradley,Chev,Silverado,72,1376,0.052325581395348837209302,PEN,50,315,301,0,14,680,Bradley,Janet Mills,46.323529411764705882352900
Dennysville,Chev,Silverado,21,256,0.08203125,WAS,23,105,115,0,12,255,Dennysville,Shawn Moody,45.098039215686274509803900
Brunswick,Suba,Forester,527,16117,0.032698393001178879444065,CUM,563,7578,3024,0,325,11490,Brunswick,Janet Mills,65.953002610966057441253200
Westport Island,Suba,Legacy,30,845,0.035502958579881656804733,LIN,26,241,195,0,15,477,Westport Island,Janet Mills,50.524109014675052410901400
Dixfield,Ford,F150,84,1994,0.04212637913741223671013,OXF,95,353,535,0,19,1002,Dixfield,Shawn Moody,53.393213572854291417165600
Nobleboro,Chev,Silverado,73,1737,0.042026482440990213010938,LIN,52,509,470,0,14,1045,Nobleboro,Janet Mills,48.708133971291866028708100
South Thomaston,Chev,Silverado,87,1523,0.057124097176625082074852,KNO,36,412,304,0,13,765,South Thomaston,Janet Mills,53.856209150326797385620900
Baileyville,Chev,Silverado,112,1292,0.086687306501547987616099,WAS,24,217,283,0,12,536,Baileyville,Shawn Moody,52.798507462686567164179100
Brooklin,Suba,Forester,46,883,0.052095130237825594563986,HAN,18,351,165,0,8,542,Brooklin,Janet Mills,64.760147601476014760147600
Ripley,Ford,F150,29,496,0.058467741935483870967741,SOM,11,88,118,0,3,220,Ripley,Shawn Moody,53.636363636363636363636300
Centerville Twp,Mits,Outlan,2,14,0.142857142857142857142857,WAS,0,6,6,0,1,13,Centerville Twp,Tie,0
Hartland,Chev,Silverado,65,1360,0.047794117647058823529411,SOM,51,208,410,0,13,682,Hartland,Shawn Moody,60.117302052785923753665600
Howland,Chev,Silverado,57,1009,0.056491575817641228939544,PEN,21,201,273,0,11,506,Howland,Shawn Moody,53.952569169960474308300300
Starks,Chev,Silverado,29,588,0.049319727891156462585034,SOM,22,130,132,0,5,289,Starks,Shawn Moody,45.674740484429065743944600
Livermore,Ford,F150,118,2220,0.053153153153153153153153,AND,85,435,581,1,18,1120,Livermore,Shawn Moody,51.87500
Cyr Plt,Ford,F150,11,76,0.144736842105263157894736,ARO,5,17,26,0,1,49,Cyr Plt,Shawn Moody,53.061224489795918367346900
Alfred,Chev,Silverado,108,2982,0.036217303822937625754527,YOR,108,719,707,0,32,1566,Alfred,Janet Mills,45.913154533844189016602800
Gouldsboro,Chev,Silverado,81,1746,0.046391752577319587628865,HAN,39,402,454,0,22,917,Gouldsboro,Shawn Moody,49.5092693565976008724100
Eliot,Chev,Silverado,192,6732,0.028520499108734402852049,YOR,195,2044,1398,0,101,3738,Eliot,Janet Mills,54.681647940074906367041100
Garland,Ford,F150,44,921,0.047774158523344191096634,PEN,25,145,271,0,26,467,Garland,Shawn Moody,58.029978586723768736616700
Georgetown,Suba,Forester,63,1065,0.059154929577464788732394,SAG,24,407,260,0,16,707,Georgetown,Janet Mills,57.567185289957567185289900
