entity_folder_id,entity_id,folder_name,folder_path,allow_rename_ind,allow_subfolder_ind,allow_upload_ind,allow_delete_ind,more_public_files_ind,parent_folder_id,file_count,create_ts,last_update_ts
0488dea3-48c3-4c42-9f81-8088a1c48316,160465,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:36:06-05:00,2016-02-29T17:36:06-05:00
02ce5f1d-0a97-196a-091d-c4085349097e,46351,Political Files,Political Files,N,N,N,N,N,,41,2016-02-29T18:06:43-05:00,2016-02-29T18:06:43-05:00
79b19a6a-8e18-5bf6-4a5e-6005179c0aff,46351,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T18:06:43-05:00,2016-02-29T18:06:43-05:00
cf4ed887-9f49-62d5-32ec-9238f9d91230,11031,Political Files,Political Files,N,N,N,N,N,,25,2016-02-29T17:40:14-05:00,2016-02-29T17:40:14-05:00
07fc758f-7c3a-e2e8-ef83-dbed34121a92,11031,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:40:14-05:00,2016-02-29T17:40:14-05:00
05dabec0-57f4-df66-98b7-53026daca454,37469,Political Files,Political Files,N,N,N,N,N,,25,2016-02-29T17:54:39-05:00,2016-02-29T17:54:39-05:00
99e4a055-a9ec-5a58-26f5-7b689c04bfc6,37469,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:54:39-05:00,2016-02-29T17:54:39-05:00
7e14327d-239a-492d-683c-26dd6ee656dc,52604,Political Files,Political Files,N,N,N,N,N,,31,2016-02-29T17:26:31-05:00,2016-02-29T17:26:31-05:00
4b9322fd-ea54-904c-7b3e-bacb219975a2,52604,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:26:31-05:00,2016-02-29T17:26:31-05:00
126b09f6-3be9-3335-82e7-cc950badb4db,52607,Political Files,Political Files,N,N,N,N,N,,31,2016-02-29T17:48:17-05:00,2016-02-29T17:48:17-05:00
e29b9b81-d7d4-a65e-5655-a0bc89909cd9,52607,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:48:17-05:00,2016-02-29T17:48:17-05:00
1caf0707-c1f5-d338-de6e-0113d421f95a,56570,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T17:38:15-05:00,2016-02-29T17:38:15-05:00
9c7bb06f-855b-05c3-16df-3b0c3865f8b2,56570,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,6,2016-02-29T17:38:15-05:00,2016-02-29T17:38:15-05:00
841c8233-c903-322b-c3ae-ccbc65b3d504,57300,Political Files,Political Files,N,N,N,N,N,,513,2016-02-29T18:00:52-05:00,2016-02-29T18:00:52-05:00
4874fd58-571d-1461-8ca1-a7b5f8de5d3d,57300,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T18:00:52-05:00,2016-02-29T18:00:52-05:00
daba4969-e37f-dfaf-95e6-0d8b94046ec5,58538,Political Files,Political Files,N,N,N,N,N,,6,2016-02-29T17:31:21-05:00,2016-02-29T17:31:21-05:00
753b5ad4-fd80-cd0a-7c9c-839add348de7,58538,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:31:21-05:00,2016-02-29T17:31:21-05:00
98650424-dc2e-acd4-674a-d52f907b8670,52176,Political Files,Political Files,N,N,N,N,N,,25,2016-02-29T17:24:18-05:00,2016-02-29T17:24:18-05:00
c3d95e70-cf2c-45bf-f866-15b8b79e5efe,52176,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:24:18-05:00,2016-02-29T17:24:18-05:00
278b01b8-142c-4319-2b5a-5df58de2778f,64434,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T17:59:32-05:00,2016-02-29T17:59:32-05:00
ffc35aa9-cbc0-2efc-d3b2-bbc6686a5f7e,64434,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:59:32-05:00,2016-02-29T17:59:32-05:00
3cea6cf6-40c1-1b69-1ee7-9fa1eb6ade9d,66674,Political Files,Political Files,N,N,N,N,N,,65,2016-02-29T17:37:01-05:00,2016-02-29T17:37:01-05:00
6cee2ae4-602a-3aff-7fb9-8e29d306ebbd,66674,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,1,2016-02-29T17:37:01-05:00,2016-02-29T17:37:01-05:00
8dd43a09-4ad2-85a8-66e4-4cc1e2e98704,68296,Political Files,Political Files,N,N,N,N,N,,144,2016-02-29T17:27:33-05:00,2016-02-29T17:27:33-05:00
5a63019a-0484-9a77-3629-b7875e0b1bf3,68296,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:27:33-05:00,2016-02-29T17:27:33-05:00
73e1d2d5-752f-d3bd-3e7b-9c4b60e06090,128805,Political Files,Political Files,N,N,N,N,N,,143,2016-02-29T17:54:20-05:00,2016-02-29T17:54:20-05:00
a2f14458-0c97-16b2-8bda-68755f32b123,128805,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:54:20-05:00,2016-02-29T17:54:20-05:00
1a35a2b0-216c-2cbc-830e-ae0c28785fe5,128808,Political Files,Political Files,N,N,N,N,N,,13,2016-02-29T17:48:57-05:00,2016-02-29T17:48:57-05:00
5d6ed11b-ac63-697a-7c3c-a40a4ee892ad,128808,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:48:57-05:00,2016-02-29T17:48:57-05:00
e295c6ca-76f9-ac3b-c898-ed40a5c8d7af,22880,Political Files,Political Files,N,N,N,N,N,,167,2016-02-29T16:00:11-05:00,2016-02-29T16:00:11-05:00
c71712ba-8976-57ad-daa2-24e6276ef633,22880,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:00:11-05:00,2016-02-29T16:00:11-05:00
0039ffee-11c8-9784-aa68-aa4760e32f06,341,Political Files,Political Files,N,N,N,N,N,,351,2016-02-29T17:08:30-05:00,2016-02-29T17:08:30-05:00
713332d7-d67c-8ded-b998-b5cdcf773a97,341,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:08:30-05:00,2016-02-29T17:08:30-05:00
