,id,callSign,frequency,activeInd,medium
254,33894,KCPQ,210.0,Y,tv
255,34347,KOTA-TV,174.0,Y,tv
256,35313,KOB,542.0,Y,tv
257,18736,KMUM-CD,476.0,Y,tv
258,23337,WBNG-TV,174.0,Y,tv
259,35685,KTUL,192.0,Y,tv
260,35906,KXLT-TV,662.0,Y,tv
261,41126,KLDF-CD,488.0,Y,tv
262,2777,KEMV,210.0,Y,tv
263,35918,KBVO-CD,680.0,Y,tv
264,35994,KXTX-TV,602.0,Y,tv
265,2731,KUAT-TV,566.0,Y,tv
266,4688,WHSV-TV,590.0,Y,tv
267,9990,WHTJ,542.0,Y,tv
268,38375,KDEN-TV,560.0,Y,tv
269,721,WEIQ,566.0,Y,tv
270,9719,KCRG-TV,186.0,Y,tv
271,9913,WCMW,506.0,Y,tv
272,10202,KSCE,512.0,Y,tv
273,10228,KNPB,476.0,Y,tv
274,11683,KLVX,198.0,Y,tv
275,12895,KETH-TV,530.0,Y,tv
276,40861,WPXS,210.0,Y,tv
277,17742,WYYW-CD,722.0,Y,tv
278,22093,WINK-TV,572.0,Y,tv
279,22121,KBMY,488.0,Y,tv
280,26249,KION-TV,578.0,Y,tv
281,28280,KTFV-CD,578.0,Y,tv
282,48237,WQSJ-CD,,Y,tv
283,7726,WYME-CD,,Y,tv
284,29000,WVOZ-TV,602.0,Y,tv
285,48836,KXLK-CD,788.0,Y,tv
286,50205,KETA-TV,210.0,Y,tv
287,1222,WTLW,66.0,Y,tv
288,9754,KNCT,488.0,Y,tv
289,34167,WBKI,482.0,Y,tv
290,34205,WKOH,488.0,Y,tv
291,132606,KCGE-DT,482.0,Y,tv
292,3113,WVXF,488.0,Y,tv
293,51502,KCWI-TV,524.0,Y,tv
294,1236,KACV-TV,186.0,Y,tv
295,12497,WBFS-TV,578.0,Y,tv
296,34847,KING-TV,536.0,Y,tv
297,706,WAIQ,548.0,Y,tv
298,720,WIIQ,500.0,Y,tv
299,55056,KTEL-CD,722.0,Y,tv
300,7675,KJTL,476.0,Y,tv
301,8263,KAEF-TV,518.0,Y,tv
302,8617,WTVD,186.0,Y,tv
303,9762,WGNT,686.0,Y,tv
304,9939,WOCB-CD,620.0,Y,tv
305,36395,WUCW,518.0,Y,tv
306,38430,KLCS,554.0,Y,tv
307,57219,KCEC,578.0,Y,tv
308,595,WTVM,198.0,Y,tv
309,41125,K10OG-D,192.0,Y,tv
310,43193,WMAV-TV,602.0,Y,tv
311,1104,WCBZ-CD,518.0,Y,tv
312,1136,KUCW,596.0,Y,tv
313,6554,WFGX,470.0,Y,tv
314,48662,WSAV-TV,482.0,Y,tv
315,10036,KCWC-DT,180.0,Y,tv
316,52240,WJGV-CD,,Y,tv
317,61216,WHIZ-TV,566.0,Y,tv
318,22685,KBDI-TV,210.0,Y,tv
319,63153,WCAU,554.0,Y,tv
320,63162,KGWL-TV,174.0,Y,tv
321,11913,WFTC,560.0,Y,tv
322,12171,WDSC-TV,530.0,Y,tv
323,272,WPTG-CD,800.0,Y,tv
324,18740,KZMM-CD,174.0,Y,tv
325,21737,WSMH,482.0,Y,tv
326,55685,KXMC-TV,210.0,Y,tv
327,714,WDIQ,192.0,Y,tv
328,35991,KXRM-TV,518.0,Y,tv
329,25452,KPIX-TV,560.0,Y,tv
330,25559,KRIS-TV,210.0,Y,tv
331,25685,KGAN,560.0,Y,tv
332,60675,KOOD,482.0,Y,tv
