,make,model,vehicle_count,all_vehicles,vehicle_share,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
143,Chev,Silverado,56,838,0.0668257756563246,20,126,231,0,7,384,Harrington,Shawn Moody,60.15625
144,Chev,Silverado,63,1667,0.03779244151169766,51,423,458,0,21,953,Dresden,Shawn Moody,48.058761804826865
145,Toyo,Camry,286,6734,0.04247104247104247,197,1659,1729,0,64,3649,Winslow,Shawn Moody,47.382844614963
146,Ford,F150,142,2754,0.05156136528685548,150,507,688,0,41,1386,Fort Fairfield,Shawn Moody,49.63924963924965
147,Gmc,Sierra,8,95,0.08421052631578947,7,17,30,0,2,56,Lakeville,Shawn Moody,53.57142857142857
148,Chev,Silverado,123,3183,0.038642789820923645,81,543,764,0,40,1428,Dexter,Shawn Moody,53.5014005602241
149,Chev,Silverado,188,3182,0.05908233815210559,86,603,724,0,35,1448,Norridgewock,Shawn Moody,50.0
150,Niss,Sentra,482,17828,0.027036122952658736,493,3374,3464,0,248,7579,Sanford,Shawn Moody,45.70523815806835
151,Ford,F150,71,1511,0.04698874917273328,64,513,415,0,14,1006,Pownal,Janet Mills,50.99403578528826
152,Chev,Silverado,98,1812,0.05408388520971304,60,261,568,2,16,907,Saint Albans,Shawn Moody,62.62403528114664
153,Chev,Silverado,19,277,0.06859205776173287,9,66,82,1,7,165,Stoneham,Shawn Moody,49.696969696969674
154,Chev,Silverado,232,5608,0.04136947218259629,213,1267,1366,0,85,2931,Oakland,Shawn Moody,46.60525417946093
155,Ford,F150,22,368,0.05978260869565216,12,55,105,0,4,176,Ludlow,Shawn Moody,59.65909090909092
156,Chev,Silverado,106,2362,0.04487722269263335,74,345,677,0,24,1120,Windsor,Shawn Moody,60.44642857142857
157,Chev,Silverado,33,878,0.037585421412300674,16,285,83,0,2,386,Islesboro,Janet Mills,73.83419689119171
158,Chev,Silverado,19,416,0.04567307692307691,7,113,71,0,9,200,Stow,Janet Mills,56.5
159,Toyo,Rav4,3,34,0.08823529411764708,1,1,20,0,1,23,Moro Plt,Shawn Moody,86.95652173913044
160,Chev,Silverado,11,186,0.05913978494623656,10,24,64,0,11,109,Cary Plt,Shawn Moody,58.71559633027524
161,Chev,Silverado,50,1368,0.03654970760233918,52,383,315,1,36,787,Unity,Janet Mills,48.665819567979675
162,Chev,Silverado,50,1267,0.03946329913180742,43,298,281,0,12,634,Lovell,Janet Mills,47.0031545741325
163,Suba,Forester,21,426,0.04929577464788732,19,100,94,0,4,217,Sweden,Janet Mills,46.08294930875577
164,Suba,Outback,297,7469,0.039764359351988215,224,3425,1570,0,170,5389,Yarmouth,Janet Mills,63.55539061050286
165,Chev,Silverado,63,1581,0.03984819734345351,71,333,387,0,15,806,Waterford,Shawn Moody,48.01488833746899
166,Chev,Silverado,88,1402,0.06276747503566334,32,342,359,0,15,748,Cushing,Shawn Moody,47.99465240641711
167,Gmc,Sierra,27,426,0.06338028169014084,13,87,139,0,5,244,Columbia Falls,Shawn Moody,56.9672131147541
168,Gmc,Sierra,9,114,0.0789473684210526,4,18,36,0,0,58,Aurora,Shawn Moody,62.06896551724136
169,Ford,F150,11,154,0.07142857142857142,9,36,78,0,0,123,Shirley,Shawn Moody,63.414634146341456
170,Ford,F150,6,79,0.07594936708860758,4,11,19,0,0,34,Garfield Plt,Shawn Moody,55.882352941176464
171,Gmc,Sierra,92,1026,0.08966861598440548,19,324,166,0,10,519,Stonington,Janet Mills,62.42774566473988
172,Ford,F150,94,1658,0.056694813027744276,50,346,270,0,61,727,Van Buren,Janet Mills,47.59284731774416
173,Chev,Silverado,55,1183,0.04649196956889264,21,240,317,0,10,588,Cornville,Shawn Moody,53.91156462585033
174,Chev,Silverado,305,6305,0.04837430610626488,147,782,1369,0,63,2361,Lebanon,Shawn Moody,57.98390512494704
175,Chev,Silverado,89,1784,0.04988789237668161,48,326,423,0,9,806,Parsonsfield,Shawn Moody,52.48138957816378
176,Gmc,Sierra,84,1318,0.06373292867981792,28,174,398,0,8,608,Hudson,Shawn Moody,65.46052631578945
177,Gmc,Sierra,48,1088,0.04411764705882354,18,129,423,0,20,590,Charleston,Shawn Moody,71.69491525423727
178,Suba,Outback,366,8190,0.044688644688644676,192,3943,1514,0,87,5736,Cape Elizabeth,Janet Mills,68.7412831241283
179,Ford,F150,110,2327,0.047271164589600345,92,492,466,0,22,1072,Livermore Falls,Janet Mills,45.895522388059696
