,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
56779,,['P80003726'],C00432195,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2007-02-10,2007-02-10,2014-01-10,CORT FOR PRESIDENT 2008,,,REP,REPUBLICAN PARTY,AL,STEVEN N KUSH,,,,,,,,,,,,,,,,,,
56782,,['P00001768'],C00200212,P,Presidential,"[1986, 1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1985-12-16,1985-12-16,1996-05-15,COTNER FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,OK,ROBERT E COTNER,,,,,,,,,,,,,,,,,,
56783,,['P20001624'],C00264994,P,Presidential,"[1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1992-04-14,1992-04-14,1997-07-15,COUCH POTATO COALITION/LAID BACK COMMITTEE,,,IND,INDEPENDENT,TX,DIANA MARIE WILLIAMS,,,,,,,,,,,,,,,,,,
56784,,['P00000133'],C00080473,P,Presidential,"[1978, 1980, 1982]",P,Principal campaign committee,A,1977-09-15,1979-05-08,1981-06-12,"COUNCIL OF AMERICANS FOR ""MAC"", THE (PCC MCDANIELS)",,,,,CA,ROSALIND KING,,,,,,,,,,,,,,,,,,
56785,,['P80001035'],C00215319,P,Presidential,[1988],P,Principal campaign committee,T,1987-05-26,1987-10-19,1987-10-19,COURTNEY FOR PRESIDENT COMMITTEE,,,,,MO,GREGORY ALLEN COURTNEY,,,,,,,,,,,,,,,,,,
56786,,['P80002983'],C00420224,P,Presidential,"[2006, 2008, 2010, 2012]",P,Principal campaign committee,A,2006-02-13,2006-06-30,2011-12-14,COX 2008 COMMITTEE INC,,,REP,REPUBLICAN PARTY,IL,"RUFF, CLAREMONT  ",,,,,,,,,,,,,,,,,,
56787,,['P20002986'],C00497552,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,T,2011-06-15,2015-12-21,2015-12-21,CPOWERS CAMPAIGN,,,DEM,DEMOCRATIC PARTY,NY,"GRISKIE, CHRISTIN NOEL",,,,,,,,,,,,,,,,,,
56788,,['P80002272'],C00224378,P,Presidential,[1988],P,Principal campaign committee,T,1988-03-14,1988-03-14,1989-04-10,CRAFT FOR PRESIDENT,,,IND,INDEPENDENT,CA,ROGER EARL CRAFT,,,,,,,,,,,,,,,,,,
56789,,['P60003936'],C00306886,P,Presidential,[1996],P,Principal campaign committee,T,1995-10-02,1995-10-02,1997-04-14,CRAIG ERIC SHARP,,,DEM,DEMOCRATIC PARTY,TX,CRAIG ERIC SHARP,,,,,,,,,,,,,,,,,,
56790,,['P00000232'],C00100834,P,Presidential,"[1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1978-08-02,1981-05-27,1995-04-24,CRANE FOR PRESIDENT COMMITTEE,,,REP,REPUBLICAN PARTY,MN,VICTORIA TIGWELL,,,,,,,,,,,,,,,,,,
