,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
57579,MARTIN'S CARDBOARD,['P60008505'],C00580274,P,Presidential,"[2016, 2018]",B,Lobbyist/Registrant PAC,A,2015-07-01,2015-07-01,2017-04-05,JAMES RAY MARTIN,,,REP,REPUBLICAN PARTY,MS,JAMES RAY MARTIN,,,,,,,,,,,,,,,,,,
57580,,['P20001319'],C00258087,P,Presidential,"[1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1992-01-13,1992-01-13,1997-07-15,JAMES R COOPER,,,DEM,DEMOCRATIC PARTY,TX,JAMES ROBERT COOPER,,,,,,,,,,,,,,,,,,
57581,,['P80001449'],C00217521,P,Presidential,[1988],P,Principal campaign committee,T,1987-09-14,1989-01-26,1989-01-26,JAMES R MESSENGER FOR PRESIDENT COMMITTEE,,,,,NJ,JAMES R MESSENGER,,,,,,,,,,,,,,,,,,
57582,,['P00000141'],C00107011,P,Presidential,[1980],P,Principal campaign committee,T,1979-01-09,1979-05-04,1981-01-14,JAMES R MONTGOMERY CAMPAIGN FUND,,,IND,INDEPENDENT,AL,EDDIE FRANKLIN SUITER,,,,,,,,,,,,,,,,,,
57583,,['P00001065'],C00249805,P,Presidential,"[1990, 1992]",P,Principal campaign committee,T,1990-12-10,1990-12-10,1993-04-30,JAMES ROBERT BRIDGES FOR PRESIDENT OF USA,,,DEM,DEMOCRATIC PARTY,TX,JAMES ROBERT BRIDGES,,,,,,,,,,,,,,,,,,
57584,,['P00001065'],C00293860,P,Presidential,"[1994, 1996, 1998, 2000]",P,Principal campaign committee,A,1994-05-12,1994-05-12,2000-08-30,JAMES ROBERT BRIDGES FOR PRESIDENT USA,,,REP,REPUBLICAN PARTY,TX,JAMES R BRIDGES,,,,,,,,,,,,,,,,,,
57585,,['P20002663'],C00495424,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-04-19,2011-05-10,2015-08-06,JAMES SHINN FOR PRESIDENT PCC,,,GOP,,WV,JAMES DEE SHINN,,,,,,,,,,,,,,,,,,
57587,,['P40000440'],C00165464,P,Presidential,"[1982, 1984, 1986]",P,Principal campaign committee,T,1983-02-09,1983-02-09,1985-02-26,JAMES THOMAS POOLE PRESIDENTIAL COMMITTEE,,,DEM,DEMOCRATIC PARTY,IN,JAMES THOMAS POOLE,,,,,,,,,,,,,,,,,,
57588,,['P60005287'],C00609693,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-02-22,2016-02-22,2018-04-26,JAMES T LAW FOR A NEW AND BETTER AMERICA 2016,,,NNE,NONE,CA,HENRY LAW,,,,,,,,,,,,,,,,,,
57589,,['P00001214'],C00111906,P,Presidential,[1980],P,Principal campaign committee,T,1979-07-31,1980-03-31,1980-03-31,"JAMES WHETSTONE FOR PRESIDENT COMMITTEE, THE",,,REP,REPUBLICAN PARTY,NC,BEN K GIBBS,,,,,,,,,,,,,,,,,,
57590,,['P80004591'],C00437939,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2007-08-18,2007-08-20,2015-08-10,JAMES WRIGHT ELECTION COMMITTEE,,,,,TX,ROBERT EARL COPLEY,,,,,,,,,,,,,,,,,,
57594,,['P00006221'],C00659466,P,Presidential,[2018],P,Principal campaign committee,T,2017-10-31,2017-10-31,2017-11-03,JANELLE MARIE NOWELL,,,DEM,DEMOCRATIC PARTY,CA,JANELLE MARIE NOWELL,,,,,,,,,,,,,,,,,,
57596,,[],C00183939,P,Presidential,[1984],P,Principal campaign committee,A,1984-05-07,1984-05-07,1984-05-07,JANE M JACKSON,,,,,FL,JEAN M JACKSON,,,,,,,,,,,,,,,,,,
57597,JARED BLANKENSHIP FOR PRESIDENT,['P20002598'],C00494823,P,Presidential,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2011-04-05,2011-05-09,2018-07-20,JARED BLANKENSHIP FOR PRESIDENT,,,REP,REPUBLICAN PARTY,TX,"KELSO, KEITH MR.",,,,,,,,,,,,,,,,,,
57602,,['P80002561'],C00231365,P,Presidential,[1988],P,Principal campaign committee,T,1988-08-26,1988-08-26,1989-03-29,JAY POKINES FOR PRESIDENT,,,IND,INDEPENDENT,NY,JAY KEVIN POKINES,,,,,,,,,,,,,,,,,,
57608,,['P20002689'],C00495127,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-04-11,2011-09-22,2015-09-11,JEFF BAREA 4 PREZ,,,,,TX,JEFFREY S BAREA,,,,,,,,,,,,,,,,,,
57609,,['P20003398'],C00501684,P,Presidential,[2012],P,Principal campaign committee,T,2011-08-30,2011-10-19,2012-04-12,JEFF BLOCK PRESIDENT FOR 100 DAYS INC,,,UNK,UNKNOWN,GA,JEFF BLOCK,,,,,,,,,,,,,,,,,,
57610,,['P80005077'],C00441485,P,Presidential,"[2008, 2010, 2012, 2014]",A,Authorized by a candidate,A,2007-11-26,2008-02-22,2014-01-10,JEFF BOSS 08 PRESIDENTIAL CAMPAIGN,,,IND,INDEPENDENT,NJ,JEFFREY HARLAN BOSS,,,,,,,,,,,,,,,,,,
57611,,['P80005077'],C00463463,P,Presidential,"[2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2009-07-01,2012-05-03,2015-08-26,JEFF BOSS FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,NJ,JEFF BOSS,,,,,,,,,,,,,,,,,,
57613,,[],C00536474,P,Presidential,"[2012, 2014]",P,Principal campaign committee,T,2012-11-19,2014-03-11,2014-03-27,JEFF BOSS FOR PRESIDENT 2016 DEMOCRATIC PRIMARY,,,DEM,DEMOCRATIC PARTY,NJ,JEFF BOSS,,,,,,,,,,,,,,,,,,
57615,,['P80003874'],C00432708,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2007-03-05,2007-03-05,2014-01-10,JEFF BROWN FOR PRESIDENT,,,IND,INDEPENDENT,OH,JEFFREY EARL BROWN,,,,,,,,,,,,,,,,,,
57617,,['P60005345'],C00566109,P,Presidential,[2014],P,Principal campaign committee,T,2014-07-14,2014-07-14,2014-10-01,JEFFERSON SHERMAN FOR PRESIDENT LLC,,,,,VA,RYAN A SHERMAN,,,,,,,,,,,,,,,,,,
57618,,['P60005345'],C00575217,P,Presidential,[2016],P,Principal campaign committee,T,2015-04-03,2015-04-03,2016-07-26,JEFFERSON SHERMAN - PRESIDENT 2016,,,REP,REPUBLICAN PARTY,MD,RYAN A SHERMAN,,,,,,,,,,,,,,,,,,
57620,,['P00002782'],C00127209,P,Presidential,"[1980, 1982]",P,Principal campaign committee,A,1980-04-29,1980-04-29,1980-10-14,JEFF GILBERT FOR PRESIDENT COMMITTEE,,,IND,INDEPENDENT,IA,DANIEL PETER FITZGERALD,,,,,,,,,,,,,,,,,,
57622,,['P40002685'],C00385971,P,Presidential,"[2004, 2006]",P,Principal campaign committee,A,2003-04-07,2003-04-07,2005-11-10,JEFFREY DIKET FOR PRESIDENT,,,LIB,LIBERTARIAN PARTY,LA,JEFFREY DIKET,,,,,,,,,,,,,,,,,,
57623,,['P20002887'],C00498063,P,Presidential,"[2012, 2014]",P,Principal campaign committee,A,2011-06-28,2011-06-28,2014-01-10,JEFFREY HARRIS 2012,,,REP,REPUBLICAN PARTY,FL,JEFFREY NICHOLAS HARRIS,,,,,,,,,,,,,,,,,,
57624,,['P80005671'],C00452466,P,Presidential,"[2008, 2010]",P,Principal campaign committee,T,2008-07-03,2008-07-03,2009-04-23,JEFF STATH FOR VICE PRESIDENT,,,IND,INDEPENDENT,CO,JESSE A DAVENPORT,,,,,,,,,,,,,,,,,,
57627,,['P20004487'],C00509638,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2012-01-17,2012-01-17,2015-08-06,JENNIFER NEY FOR PRESIDENT,,,,,WI,JENNIFER LEE ANN NEY,,,,,,,,,,,,,,,,,,
57628,,['P20000998'],C00256073,P,Presidential,"[1990, 1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1991-11-20,1993-07-15,1998-05-26,JENSEN FOR PRESIDENT,,,REP,REPUBLICAN PARTY,MI,PAUL JENSEN,,,,,,,,,,,,,,,,,,
57631,,['P40001729'],C00185553,P,Presidential,[1984],P,Principal campaign committee,A,1984-06-01,1984-06-01,1984-06-01,JEROME REITSMA PRESIDENTIAL CAMPAIGN COMMITTEE AND TRAVELING ROCK SHOW,,,,,MN,MICHAEL JAMES REITSMA,,,,,,,,,,,,,,,,,,
57633,,['P00002212'],C00118307,P,Presidential,"[1980, 1982]",P,Principal campaign committee,A,1979-12-18,1979-12-18,1979-12-18,JERRY BAKER FOR PRESIDENT,,,,,IA,JAMES B KELLEY,,,,,,,,,,,,,,,,,,
57634,,['P60004264'],C00312397,P,Presidential,"[1996, 1998, 2000]",P,Principal campaign committee,A,1996-02-06,1996-03-12,2000-01-21,JERRY B WATSON JR FOR PRESIDENT 1996,,,REP,REPUBLICAN PARTY,DC,JERRY B WATSON JR,,,,,,,,,,,,,,,,,,
57636,,['P00000679'],C00108902,P,Presidential,"[1980, 1982, 1984]",P,Principal campaign committee,T,1979-04-06,1984-09-10,1985-04-03,JERRY CARROLL FOR PRESIDENT COMMITTEE,,,,,CA,ANITA RAE CARROLL,,,,,,,,,,,,,,,,,,
57637,,['P20003240'],C00500322,P,Presidential,[2012],P,Principal campaign committee,T,2011-08-08,2011-11-07,2012-12-06,JERRY LANSER FOR PRESIDENT,,,,,CO,JERRY LANSER,,,,,,,,,,,,,,,,,,
57638,,['P60005089'],C00553107,P,Presidential,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-10-31,2013-10-31,2018-04-26,JERRY LEONARD CAMPAIGN COMMITTEE,,,,,NC,JERRY L LEONARD,,,,,,,,,,,,,,,,,,
57639,,['P80001043'],C00215392,P,Presidential,"[1988, 1990, 1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1987-06-01,1987-06-01,1998-05-26,JERRY ROGER MILTON (PCC),,,IND,INDEPENDENT,FL,JERRY ROGER MILTON,,,,,,,,,,,,,,,,,,
57641,,['P20004677'],C00512459,P,Presidential,"[2012, 2014]",P,Principal campaign committee,T,2012-02-13,2012-02-13,2013-05-28,JERRY WHITE FOR PRESIDENT 2012,,,,,MI,JEROME WHITE,,,,,,,,,,,,,,,,,,
57642,,['P20004677'],C00617407,P,Presidential,"[2016, 2018]",P,Principal campaign committee,T,2016-05-16,2016-06-20,2017-02-03,JERRY WHITE FOR PRESIDENT 2016,,,SEP,SOCIALIST EQUALITY PARTY,MI,JEROME S WHITE,,,,,,,,,,,,,,,,,,
57643,,['P80001332'],C00219287,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1987-05-26,1987-05-26,1996-05-15,JESSE A JOHNSON FOR PRESIDENT,,,REP,REPUBLICAN PARTY,TN,JESSE A JOHNSON,,,,,,,,,,,,,,,,,,
57644,,['P40001018'],C00172239,P,Presidential,"[1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002]",A,Authorized by a candidate,A,1983-11-14,1985-01-02,2002-01-22,JESSE JACKSON FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,PA,EMMA CHAPPELL,,,,,,,,,,,,,,,,,,
57645,,['P40001018'],C00217893,P,Presidential,"[1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006]",P,Principal campaign committee,A,1987-10-01,2002-08-07,2005-07-08,JESSE JACKSON FOR PRESIDENT '88 COMMITTEE,,,DEM,DEMOCRATIC PARTY,DC,JESSE L JACKSON,,,,,,,,,,,,,,,,,,
57646,,['P40001018'],C00217265,P,Presidential,"[1988, 1990]",A,Authorized by a candidate,A,1987-08-31,1987-12-28,1995-06-23,JESSE JACKSON FOR PRESIDENT 88 COMMITTEE-CALIFORNIA,,,,,CA,JULIUS GLAZER,,,,,,,,,,,,,,,,,,
57648,,['P40001018'],C00226324,P,Presidential,"[1988, 1990]",A,Authorized by a candidate,T,1988-04-21,1988-04-21,1989-10-02,JESSIE JACKSON FOR PRESIDENT 1988,,,,,CA,DELORIS SCAIFE HIGGINS,,,,,,,,,,,,,,,,,,
57652,,['P60002458'],C00288720,P,Presidential,[1994],P,Principal campaign committee,T,1994-02-07,1994-02-07,1994-03-28,JEWELL FOR PRESIDENT '96 COMMITTEE,,,,,AZ,ROGER JEWELL ESQ,,,,,,,,,,,,,,,,,,
57653,,['P60002458'],C00408724,P,Presidential,[2006],A,Authorized by a candidate,T,2005-01-10,2005-01-10,2005-04-26,JEWISH-CHRISTIAN COALITION FOR ROGER JEWELL FOR PRESIDENT IN 2008,,,,,AZ,ROGER JEWELL,,,,,,,,,,,,,,,,,,
57654,,['P80004815'],C00439091,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2007-09-26,2011-09-06,2014-01-10,J E W KENNEDY BANKS FOR PRESIDENT COMMITTEE,,,REP,REPUBLICAN PARTY,PA,CASSAUNDRA W TOWELL,,,,,,,,,,,,,,,,,,
57657,,['P20003984'],C00505800,P,Presidential,"[2012, 2014, 2016]",A,Authorized by a candidate,T,2011-11-14,2015-09-08,2016-02-25,JILL STEIN FOR PRESIDENT,,,GRE,GREEN PARTY,MA,"MORAN, JAMES",,,,,,,,,,,,,,,,,,
57659,,['P00000695'],C00256941,P,Presidential,"[1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1991-12-13,1991-12-13,1997-07-15,JIM BOREN FOR PRESIDENT COMMITTEE,,,DEM,DEMOCRATIC PARTY,OK,PATRICIA MYERS,,,,,,,,,,,,,,,,,,
57660,,['P00000695'],C00109082,P,Presidential,"[1980, 1982]",P,Principal campaign committee,A,1979-04-16,1979-04-16,1980-05-28,JIM BOREN FOR VICE PRESIDENT,,,,,DC,ALICE IRENE PETER BOREN,,,,,,,,,,,,,,,,,,
57661,,['P40003303'],C00395939,P,Presidential,[2004],P,Principal campaign committee,T,2004-02-10,2004-04-29,2004-05-11,JIM BURNS FOR PRESIDENT,,,LIB,LIBERTARIAN PARTY,NV,JAMES DURELL SMITH JR,,,,,,,,,,,,,,,,,,
57662,,['P20002242'],C00486506,P,Presidential,"[2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2010-07-21,2010-08-02,2015-08-26,JIMENEZ FOR PRESIDENT 2012,,,REP,REPUBLICAN PARTY,TX,LILIA FERNANDEZ,,,,,,,,,,,,,,,,,,
57664,,['P20001079'],C00256727,P,Presidential,"[1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1991-12-09,1991-12-09,1997-07-15,JIM GLOVER FOR PRESIDENT,,,,,FL,JIM GLOVER,,,,,,,,,,,,,,,,,,
57665,,['P60004165'],C00309807,P,Presidential,[1996],P,Principal campaign committee,T,1995-12-26,1995-12-26,1996-04-12,JIM GRIFFIN FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,NY,JANICE A DUFFY,,,,,,,,,,,,,,,,,,
57666,,['P60017423'],C00591529,P,Presidential,[2016],P,Principal campaign committee,T,2015-11-05,2015-11-05,2016-08-13,JIM LYNCH FOR PRESIDENT INC,,,,,IL,JAMES P LYNCH,,,,,,,,,,,,,,,,,,
57667,,[],C00492942,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-02-07,2011-02-07,2015-08-10,JIMMY MCMILLAN 2012 COMMITTEE,,,,,NY,JAMES E MCMILLAN,,,,,,,,,,,,,,,,,,
57668,,['P60003290'],C00301408,P,Presidential,"[1996, 1998]",P,Principal campaign committee,A,1995-03-08,1995-04-04,1997-07-15,JIMMY MCMILLAN FOR PRESIDENT,,,REP,REPUBLICAN PARTY,NY,JAMES MCMILLAN III,,,,,,,,,,,,,,,,,,
57669,,['P60016805'],C00589457,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-10-13,2015-10-13,2018-04-26,JIMMY MCMILLAN IN 2016,,,REP,REPUBLICAN PARTY,NY,JAMES E MCMILLAN III,,,,,,,,,,,,,,,,,,
57670,,['P80002488'],C00228577,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1988-06-09,1988-06-09,1996-05-15,JIMMY PHEROMONE FOR PREZIDENT COMMITTEE,,,,,MD,JIMMY PHEROMONE,,,,,,,,,,,,,,,,,,
57671,,['P20002051'],C00572446,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-02-02,2015-02-02,2018-04-26,JIM RUNDBERG COMMITTEE FOR ELECTION,,,,,PR,LUCY V RUNDBERG,,,,,,,,,,,,,,,,,,
57672,,['P60008398'],C00580159,P,Presidential,[2016],P,Principal campaign committee,T,2015-06-26,2015-06-26,2016-05-02,JINDAL FOR PRESIDENT,,,REP,REPUBLICAN PARTY,LA,ROLFE MCCOLLISTER JR,,,,,,,,,,,,,,,,,,
57676,,['P00003814'],C00428987,P,Presidential,"[2006, 2008, 2010, 2012, 2014]",P,Principal campaign committee,T,2006-09-25,2014-07-31,2014-07-31,J MALONE PRESIDENT 2016,,,IND,INDEPENDENT,DC,JOAN FRANCIS MARY MALONE,,,,,,,,,,,,,,,,,,
57677,,[],C00532754,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2012-10-22,2012-10-22,2015-09-15,JOAN FM MALONE REPRESENTATIVE FOR GOD AND AMERICA,,,REP,REPUBLICAN PARTY,DC,JOAN FM MALONE,,,,,,,,,,,,,,,,,,
57679,,['P80000664'],C00213116,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1987-01-20,1987-01-20,1996-05-15,"JOBS FOR STUDENT, JOBS FOR YOUTH (PCC MICHAEL HAMBURG)",,,DEM,DEMOCRATIC PARTY,WY,MICHAEL LEE HAMBURG,,,,,,,,,,,,,,,,,,
57680,,['P00003384'],C00342188,P,Presidential,[2000],P,Principal campaign committee,T,1999-01-11,1999-01-11,2000-09-08,JOE BELLIS AN AMERICAN FOR PRESIDENT 2000,,,NNE,NONE,KS,"Bellis, Lorraine",,,,,,,,,,,,,,,,,,
57681,,['P60009206'],C00587394,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-12,2015-09-12,2018-04-26,"JOE BRITT JR 2016 PRESIDENTIAL ""WHAT IF?"" CAMPAIGN COMMITTEE",,,IND,INDEPENDENT,NY,JOE BRITT JR,,,,,,,,,,,,,,,,,,
57682,,['P60015310'],C00586792,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-08,2015-09-08,2018-04-26,JOE CANADA,,,,,CA,JOE CANADA,,,,,,,,,,,,,,,,,,
57683,,['P60018249'],C00612077,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-03-11,2016-08-18,2018-08-15,JOE EXOTIC FOR THE PEOPLE OF AMERICA,,,IND,INDEPENDENT,OK,ME'LICIA L THOMPSON,,,,,,,,,,,,,,,,,,
57684,,['P80003346'],C00431155,P,Presidential,"[2006, 2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2006-12-28,2006-12-28,2015-08-06,JOE HONEYCHURCH FOR PRESIDENT,,,,,CA,RICHARD ADAM RIVERIA,,,,,,,,,,,,,,,,,,
57685,,['P00004754'],C00384297,P,Presidential,"[2004, 2006, 2008]",P,Principal campaign committee,T,2003-01-13,2004-07-10,2007-09-25,JOE LIEBERMAN FOR PRESIDENT INC,,,DEM,DEMOCRATIC PARTY,DC,"Borges, Francisco",,,,,,,,,,,,,,,,,,
57688,,['P80003833'],C00432609,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2007-02-27,2007-02-27,2014-01-10,JOE MIECHOWICZ FOR PRESIDENT EXPLORITORY COMMITTEE,,,,,CA,JOSEPH C MIECHOWICZ,,,,,,,,,,,,,,,,,,
57694,,['P20004644'],C00515726,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2012-03-15,2012-03-15,2015-08-06,JOHN ANSON LEE FOR PRESIDENT COMMITTEE,,,REP,REPUBLICAN PARTY,TX,JOHN A LEE,,,,,,,,,,,,,,,,,,
57695,,['P80003114'],C00508218,P,Presidential,[2012],P,Principal campaign committee,T,2011-12-15,2011-12-15,2012-12-07,JOHN BLYTH FOR PRESIDENT OF THE UNITED STATES 2012,,,IND,INDEPENDENT,IL,JOHN BLYTH,,,,,,,,,,,,,,,,,,
57696,,['P80005135'],C00442376,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2007-12-19,2007-12-19,2015-09-11,JOHN BOOTIE 2008,,,IND,INDEPENDENT,PA,JASON R BOOTIE,,,,,,,,,,,,,,,,,,
57697,,['P60006996'],C00576637,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-04-14,2015-04-14,2018-04-26,JOHN CHESTER FOR PRESIDENT 2016,,,IND,INDEPENDENT,VT,JOHN CHESTER,,,,,,,,,,,,,,,,,,
57698,,['P20002325'],C00489633,P,Presidential,"[2010, 2012]",P,Principal campaign committee,T,2010-10-01,2010-10-01,2012-12-11,JOHN DAVIS FOR PRESIDENT,,,REP,REPUBLICAN PARTY,CO,DUNCAN L MCARTHUR,,,,,,,,,,,,,,,,,,
57699,,['P80005754'],C00455220,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2008-09-19,2012-10-25,2015-09-15,JOHN DE NUGENT FOR PRESIDENT,,,,,PA,JOHN DE NUGENT,,,,,,,,,,,,,,,,,,
57700,,['P20002499'],C00492744,P,Presidential,"[2012, 2014, 2016]",A,Authorized by a candidate,A,2011-01-28,2015-04-27,2015-08-26,JOHN DUMMETT FOR PRESIDENT COMMITTEE,,,REP,REPUBLICAN PARTY,KS,KARMI S DUMMETT,,,,,,,,,,,,,,,,,,
57702,,['P40002487'],C00384743,P,Presidential,"[2004, 2006]",P,Principal campaign committee,A,2003-01-30,2003-01-30,2005-12-12,JOHN ESTRADA FOR PRESIDENT 2004,,,DEM,DEMOCRATIC PARTY,NV,TONY D ESTRADA,,,,,,,,,,,,,,,,,,
57704,,['P80001225'],C00216432,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1987-07-28,1987-07-28,1996-05-15,JOHN G DENISON TRUST,,,,,CA,JOHN GREENE DENISON,,,,,,,,,,,,,,,,,,
57705,,"['P40000291', 'S4OH00010']",C00183020,P,Presidential,"[1984, 1986, 1988, 1990]",J,Joint fundraising committee,T,1984-04-26,1986-01-31,1989-06-02,JOHN GLENN COMMITTEE,,,,,DC,WILLIAM R WHITE,,,,,,,,,,,,,,,,,,
57706,,['P20003141'],C00498766,P,Presidential,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2011-07-12,2015-02-09,2018-04-26,JOHN GREEN FERGUSON FOR USA PRESIDENT 2016,,,,,TX,JOHN GREEN FERGUSON,,,,,,,,,,,,,,,,,,
57707,,['P40001372'],C00277442,P,Presidential,"[1992, 1994, 1996, 1998, 2000]",P,Principal campaign committee,A,1992-10-21,1992-10-21,2000-01-24,JOHN GULLETTE FOR PRESIDENT,,,REP,REPUBLICAN PARTY,FL,JOHN D GULLETTE,,,,,,,,,,,,,,,,,,
57709,,['P00003103'],C00331207,P,Presidential,"[1998, 2000, 2002]",P,Principal campaign committee,A,1997-11-13,1998-05-14,2002-06-18,JOHN JONES FOR PRESIDENTIAL,,,DEM,DEMOCRATIC PARTY,PA,OMAR MONAHAN,,,,,,,,,,,,,,,,,,
57710,,['P40003519'],C00431999,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2007-02-05,2007-02-05,2015-08-06,JOHN JOSEPH KENNEDY FOR PRESIDENT 2008 (FRIENDS OF JJK),,,DEM,DEMOCRATIC PARTY,GA,JOHN J KENNEDY,,,,,,,,,,,,,,,,,,
57711,,['P40003519'],C00406835,P,Presidential,"[2004, 2006]",P,Principal campaign committee,A,2004-10-07,2004-10-07,2005-11-10,JOHN JOSEPH KENNEDY FOR PRESIDENT/FRIENDS OF JJK COMMITTEE,,,DEM,DEMOCRATIC PARTY,GA,JOHN J KENNEDY,,,,,,,,,,,,,,,,,,
57713,KERRY VICTORY 2004,['P80000235'],C00383653,P,Presidential,"[2002, 2004, 2006, 2008]",A,Authorized by a candidate,T,2002-12-04,2007-05-01,2008-02-14,JOHN KERRY FOR PRESIDENT INC,,,DEM,DEMOCRATIC PARTY,DC,David Thorne,,,,,,,,,,,,,,,,,,
57716,,['P40000283'],C00165266,P,Presidential,"[1982, 1984, 1986]",P,Principal campaign committee,A,1983-01-25,1983-02-24,1983-02-24,"JOHN L HARRIS, REGINALD SMITH, BARBARA PATTON, UNA CAPLAN",,,DEM,DEMOCRATIC PARTY,CA,JOHN LEMUEL HARRIS,,,,,,,,,,,,,,,,,,
57718,MCCAIN-PALIN COMPLIANCE FUND INC,['P80002801'],C00430470,P,Presidential,"[2006, 2008, 2010, 2012, 2014]",P,Principal campaign committee,T,2006-11-16,2011-03-15,2013-09-30,JOHN MCCAIN 2008 INC.,,,REP,REPUBLICAN PARTY,DC,"SCHMUCKLER, JOSEPH",,,,,,,,,,,,,,,,,,
57721,,['P60005147'],C00556852,P,Presidential,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-02-12,2014-02-12,2018-04-26,JOHNNIE C CAMPBELL,,,,,IA,JOHNNIE C CAMPBELL,,,,,,,,,,,,,,,,,,
57722,,['P80001597'],C00261420,P,Presidential,"[1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1992-03-02,1992-03-02,1997-07-15,JOHNNIE RILEY FOR PRESIDENT COMMITTEE,,,DEM,DEMOCRATIC PARTY,TX,JOHNNIE MAE RILEY,,,,,,,,,,,,,,,,,,
57723,,['P80001597'],C00218081,P,Presidential,"[1988, 1990, 1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1987-10-09,1987-10-09,1997-07-15,JOHNNIE RILEY FOR PRESIDENT COMMITTEE,,,DEM,DEMOCRATIC PARTY,TX,JOHNNIE MAE RILEY,,,,,,,,,,,,,,,,,,
57724,,['P80001076'],C00215897,P,Presidential,[1988],P,Principal campaign committee,T,1987-06-29,1987-11-27,1987-11-27,JOHN OERTEL LETS HAVE A PIZZA JAM PRESIDENTIAL COMMITTEE,,,DEM,DEMOCRATIC PARTY,CA,JOHN OERTEL,,,,,,,,,,,,,,,,,,
57725,,['P40000432'],C00165332,P,Presidential,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1983-02-07,1983-02-07,1996-05-15,JOHN PAUL MASTERS JR FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,IA,JOHN PAUL MASTERS JR,,,,,,,,,,,,,,,,,,
57726,,['P60003571'],C00303115,P,Presidential,"[1996, 1998]",P,Principal campaign committee,A,1995-05-23,1995-06-20,1997-07-15,JOHN R HOELZEL JR FOR PRESIDENT,,,IND,INDEPENDENT,TX,JOHN RICHARD HOELZEL JR,,,,,,,,,,,,,,,,,,
57727,,['P60003571'],C00491498,P,Presidential,"[2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2010-11-30,2010-11-30,2015-09-15,JOHN R HOELZEL JR FOR PRESIDENT OF THE UNITED STATES,,,IND,INDEPENDENT,TX,JOHN R HOELZEL JR,,,,,,,,,,,,,,,,,,
